0.064,0.073,0.280,0.398,-0.158,-0.009,-0.312,0.551,0.154,-0.017,-0.143,-0.082,0.026,0.395,-0.304,-0.539,-0.406,-0.485
0.019,-0.050,0.225,0.183,-0.370,-0.051,-0.393,0.402,0.189,-0.340,-0.213,-0.003,-0.268,0.307,-0.518,-0.538,-0.387,-0.503
0.005,-0.025,0.302,0.443,-0.213,0.076,-0.405,0.414,0.091,-0.119,-0.115,0.261,-0.283,0.073,-0.312,-0.463,-0.330,-0.419
0.187,0.156,0.430,0.381,-0.201,0.069,-0.331,0.664,0.216,0.069,0.084,0.111,0.012,0.367,-0.152,-0.327,-0.340,-0.393
0.358,0.168,0.495,0.597,-0.116,0.212,-0.345,0.611,0.345,0.180,0.206,0.329,0.099,0.513,-0.195,-0.310,-0.172,-0.319
0.040,0.111,0.465,0.334,-0.090,-0.066,-0.350,0.446,0.105,0.076,-0.028,0.050,-0.190,0.166,-0.500,-0.480,-0.386,-0.415
0.092,0.087,0.389,0.464,-0.157,0.050,-0.185,0.429,0.041,0.021,-0.046,0.024,-0.191,0.291,-0.373,-0.486,-0.354,-0.248
0.113,0.308,0.450,0.395,-0.217,0.301,-0.161,0.687,0.225,0.265,-0.094,0.083,-0.057,0.272,-0.215,-0.367,-0.328,-0.218
0.078,0.155,0.438,0.377,-0.125,0.159,-0.236,0.429,0.163,-0.002,0.031,0.237,-0.132,0.367,-0.439,-0.511,-0.258,-0.388
0.154,0.153,0.387,0.505,-0.053,-0.043,-0.300,0.502,0.231,-0.045,-0.188,0.138,-0.145,0.492,-0.110,-0.407,-0.291,-0.535
0.039,0.205,0.257,0.527,-0.207,0.028,-0.365,0.444,0.195,0.026,-0.190,0.192,-0.103,0.412,-0.215,-0.530,-0.259,-0.480
0.193,0.320,0.350,0.374,-0.126,0.028,-0.161,0.557,0.029,-0.150,-0.106,-0.006,-0.161,0.393,-0.327,-0.427,-0.316,-0.383
0.066,0.220,0.457,0.467,-0.052,0.083,-0.415,0.490,0.151,-0.077,0.019,0.251,-0.007,0.317,-0.147,-0.501,-0.502,-0.439
0.134,0.147,0.278,0.438,-0.096,0.078,-0.433,0.400,0.044,0.013,-0.153,0.232,-0.015,0.235,-0.330,-0.466,-0.406,-0.281
0.193,0.147,0.515,0.556,-0.172,0.155,-0.169,0.604,0.219,0.193,-0.055,0.261,-0.024,0.562,-0.300,-0.344,-0.245,-0.436
0.099,0.053,0.389,0.389,-0.128,-0.004,-0.293,0.550,0.133,0.079,-0.204,0.200,-0.293,0.344,-0.438,-0.447,-0.366,-0.378
0.166,0.276,0.358,0.485,-0.181,-0.026,-0.043,0.612,0.290,0.052,-0.147,0.103,-0.204,0.366,-0.440,-0.309,-0.145,-0.314
-0.018,0.072,0.254,0.397,-0.242,0.074,-0.241,0.502,0.223,-0.035,-0.149,0.116,-0.252,0.245,-0.508,-0.532,-0.305,-0.305
-0.043,0.038,0.275,0.338,-0.372,0.093,-0.451,0.336,0.072,-0.326,-0.362,0.098,-0.157,0.175,-0.577,-0.559,-0.576,-0.450
-0.044,0.133,0.298,0.361,-0.218,0.199,-0.300,0.435,0.098,-0.124,-0.355,0.011,-0.220,0.344,-0.399,-0.590,-0.455,-0.328
0.149,0.244,0.450,0.475,-0.174,0.197,-0.293,0.501,0.147,-0.063,-0.050,-0.000,-0.141,0.412,-0.334,-0.405,-0.435,0.052
0.230,0.267,0.565,0.656,0.087,0.246,0.084,0.634,0.347,0.239,0.155,0.316,-0.089,0.532,-0.382,-0.224,-0.104,-0.128
0.254,0.388,0.444,0.720,-0.161,0.272,0.037,0.628,0.420,0.302,-0.024,0.197,0.208,0.593,-0.368,-0.080,-0.088,-0.164
